workerid,type,question,response,rt,stimulus,trial_index
212,finance term,fixed-rate mortgage,4,4462,<p>fixed-rate mortgage</p><br>,6
212,finance term,home equity,4,3299,<p>home equity</p><br>,7
212,finance term,revolving credit,1,3592,<p>revolving credit</p><br>,8
212,finance term,vesting,2,2378,<p>vesting</p><br>,9
212,finance term,retirement,5,4680,<p>retirement</p><br>,10
212,finance term,stock options,3,2522,<p>stock options</p><br>,11
212,finance term,inflation,6,4343,<p>inflation</p><br>,12
212,finance term,private equity fund,1,2761,<p>private equity fund</p><br>,13
212,finance term,interest rate,4,7053,<p>interest rate</p><br>,14
212,finance term,Roth IRA,1,2905,<p>Roth IRA</p><br>,15
212,finance term,whole life insurance,3,2811,<p>whole life insurance</p><br>,16
212,self-rating,generalKnowledge,2,4511,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
212,self-rating,compareAmerican,1,3314,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
212,FLquiz,stocks,Don't know,28486,NA,19
212,FLquiz,interest,Don't know,28486,NA,19
212,FLquiz,mortgage,Don't know,28486,NA,19
212,FLquiz,inflation,Don't know,28486,NA,19
212,FLquiz,savingsAccount,More than $102,28486,NA,19
213,finance term,pre-rated stocks,2,4440,<p>pre-rated stocks</p><br>,4
213,finance term,fixed-rate deduction,3,5134,<p>fixed-rate deduction</p><br>,5
213,finance term,annualized credit,5,1963,<p>annualized credit</p><br>,6
213,finance term,tax bracket,6,3865,<p>tax bracket</p><br>,7
213,finance term,fixed-rate mortgage,6,2027,<p>fixed-rate mortgage</p><br>,8
213,finance term,home equity,5,1903,<p>home equity</p><br>,9
213,finance term,revolving credit,3,2819,<p>revolving credit</p><br>,10
213,finance term,vesting,5,2254,<p>vesting</p><br>,11
213,finance term,retirement,6,3088,<p>retirement</p><br>,12
213,finance term,stock options,5,1718,<p>stock options</p><br>,13
213,finance term,inflation,5,3769,<p>inflation</p><br>,14
213,finance term,private equity fund,5,2345,<p>private equity fund</p><br>,15
213,finance term,interest rate,6,3748,<p>interest rate</p><br>,16
213,finance term,Roth IRA,3,2357,<p>Roth IRA</p><br>,17
213,finance term,whole life insurance,2,6437,<p>whole life insurance</p><br>,18
213,self-rating,generalKnowledge,5,5618,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
213,self-rating,compareAmerican,6,5598,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
213,FLquiz,stocks,False,59482,NA,19
213,FLquiz,interest,Don't know,59482,NA,19
213,FLquiz,mortgage,True,59482,NA,19
213,FLquiz,inflation,Less,59482,NA,19
213,FLquiz,savingsAccount,More than $102,59482,NA,19
214,finance term,pre-rated stocks,1,7379,<p>pre-rated stocks</p><br>,4
214,finance term,fixed-rate deduction,5,12500,<p>fixed-rate deduction</p><br>,5
214,finance term,annualized credit,7,2655,<p>annualized credit</p><br>,6
214,finance term,tax bracket,2,2150,<p>tax bracket</p><br>,7
214,finance term,fixed-rate mortgage,5,2999,<p>fixed-rate mortgage</p><br>,8
214,finance term,home equity,1,7567,<p>home equity</p><br>,9
214,finance term,revolving credit,6,2533,<p>revolving credit</p><br>,10
214,finance term,vesting,3,5022,<p>vesting</p><br>,11
214,finance term,retirement,7,1808,<p>retirement</p><br>,12
214,finance term,stock options,7,1830,<p>stock options</p><br>,13
214,finance term,inflation,7,1873,<p>inflation</p><br>,14
214,finance term,private equity fund,6,6228,<p>private equity fund</p><br>,15
214,finance term,interest rate,7,2990,<p>interest rate</p><br>,16
214,finance term,Roth IRA,1,2560,<p>Roth IRA</p><br>,17
214,finance term,whole life insurance,5,4462,<p>whole life insurance</p><br>,18
214,self-rating,generalKnowledge,6,12620,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
214,self-rating,compareAmerican,6,6302,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
214,FLquiz,stocks,Don't know,80419,NA,19
214,FLquiz,interest,Rise,80419,NA,19
214,FLquiz,mortgage,True,80419,NA,19
214,FLquiz,inflation,Less,80419,NA,19
214,FLquiz,savingsAccount,More than $102,80419,NA,19
215,finance term,pre-rated stocks,1,2717,<p>pre-rated stocks</p><br>,4
215,finance term,fixed-rate deduction,2,2987,<p>fixed-rate deduction</p><br>,5
215,finance term,annualized credit,1,2539,<p>annualized credit</p><br>,6
215,finance term,tax bracket,1,2159,<p>tax bracket</p><br>,7
215,finance term,fixed-rate mortgage,3,2572,<p>fixed-rate mortgage</p><br>,8
215,finance term,home equity,4,4256,<p>home equity</p><br>,9
215,finance term,revolving credit,1,2532,<p>revolving credit</p><br>,10
215,finance term,vesting,5,3278,<p>vesting</p><br>,11
215,finance term,retirement,7,2849,<p>retirement</p><br>,12
215,finance term,stock options,6,4215,<p>stock options</p><br>,13
215,finance term,inflation,7,1877,<p>inflation</p><br>,14
215,finance term,private equity fund,1,3282,<p>private equity fund</p><br>,15
215,finance term,interest rate,7,2380,<p>interest rate</p><br>,16
215,finance term,Roth IRA,1,2172,<p>Roth IRA</p><br>,17
215,finance term,whole life insurance,7,2567,<p>whole life insurance</p><br>,18
215,self-rating,generalKnowledge,3,10231,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
215,self-rating,compareAmerican,2,6125,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
215,FLquiz,stocks,False,76782,NA,19
215,FLquiz,interest,Don't know,76782,NA,19
215,FLquiz,mortgage,Don't know,76782,NA,19
215,FLquiz,inflation,Less,76782,NA,19
215,FLquiz,savingsAccount,Exactly $102,76782,NA,19
216,finance term,pre-rated stocks,3,6914,<p>pre-rated stocks</p><br>,4
216,finance term,fixed-rate deduction,3,4910,<p>fixed-rate deduction</p><br>,5
216,finance term,annualized credit,6,3771,<p>annualized credit</p><br>,6
216,finance term,tax bracket,7,3879,<p>tax bracket</p><br>,7
216,finance term,fixed-rate mortgage,6,4501,<p>fixed-rate mortgage</p><br>,8
216,finance term,home equity,6,1864,<p>home equity</p><br>,9
216,finance term,revolving credit,4,3999,<p>revolving credit</p><br>,10
216,finance term,vesting,2,1892,<p>vesting</p><br>,11
216,finance term,retirement,7,2219,<p>retirement</p><br>,12
216,finance term,stock options,6,1872,<p>stock options</p><br>,13
216,finance term,inflation,7,2065,<p>inflation</p><br>,14
216,finance term,private equity fund,3,3421,<p>private equity fund</p><br>,15
216,finance term,interest rate,7,2479,<p>interest rate</p><br>,16
216,finance term,Roth IRA,2,1962,<p>Roth IRA</p><br>,17
216,finance term,whole life insurance,7,2912,<p>whole life insurance</p><br>,18
216,self-rating,generalKnowledge,5,6297,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
216,self-rating,compareAmerican,6,6497,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
216,FLquiz,stocks,True,96773,NA,19
216,FLquiz,interest,Fall,96773,NA,19
216,FLquiz,mortgage,True,96773,NA,19
216,FLquiz,inflation,Less,96773,NA,19
216,FLquiz,savingsAccount,More than $102,96773,NA,19
217,finance term,pre-rated stocks,2,4935,<p>pre-rated stocks</p><br>,4
217,finance term,fixed-rate deduction,4,4157,<p>fixed-rate deduction</p><br>,5
217,finance term,annualized credit,4,2677,<p>annualized credit</p><br>,6
217,finance term,tax bracket,6,3249,<p>tax bracket</p><br>,7
217,finance term,fixed-rate mortgage,6,4319,<p>fixed-rate mortgage</p><br>,8
217,finance term,home equity,5,2949,<p>home equity</p><br>,9
217,finance term,revolving credit,3,5097,<p>revolving credit</p><br>,10
217,finance term,vesting,2,2878,<p>vesting</p><br>,11
217,finance term,retirement,7,3047,<p>retirement</p><br>,12
217,finance term,stock options,5,2267,<p>stock options</p><br>,13
217,finance term,inflation,6,1788,<p>inflation</p><br>,14
217,finance term,private equity fund,5,1777,<p>private equity fund</p><br>,15
217,finance term,interest rate,6,1814,<p>interest rate</p><br>,16
217,finance term,Roth IRA,4,2741,<p>Roth IRA</p><br>,17
217,finance term,whole life insurance,2,4775,<p>whole life insurance</p><br>,18
217,self-rating,generalKnowledge,5,5247,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
217,self-rating,compareAmerican,6,4222,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
217,FLquiz,stocks,False,72080,NA,19
217,FLquiz,interest,Don't know,72080,NA,19
217,FLquiz,mortgage,True,72080,NA,19
217,FLquiz,inflation,Less,72080,NA,19
217,FLquiz,savingsAccount,More than $102,72080,NA,19
219,finance term,pre-rated stocks,5,4129,<p>pre-rated stocks</p><br>,4
219,finance term,fixed-rate deduction,5,5883,<p>fixed-rate deduction</p><br>,5
219,finance term,annualized credit,6,7649,<p>annualized credit</p><br>,6
219,finance term,tax bracket,2,4115,<p>tax bracket</p><br>,7
219,finance term,fixed-rate mortgage,6,4048,<p>fixed-rate mortgage</p><br>,8
219,finance term,home equity,7,4951,<p>home equity</p><br>,9
219,finance term,revolving credit,2,5031,<p>revolving credit</p><br>,10
219,finance term,vesting,1,13469,<p>vesting</p><br>,11
219,finance term,retirement,7,4147,<p>retirement</p><br>,12
219,finance term,stock options,7,4467,<p>stock options</p><br>,13
219,finance term,inflation,7,2765,<p>inflation</p><br>,14
219,finance term,private equity fund,5,3685,<p>private equity fund</p><br>,15
219,finance term,interest rate,7,3148,<p>interest rate</p><br>,16
219,finance term,Roth IRA,1,5265,<p>Roth IRA</p><br>,17
219,finance term,whole life insurance,7,6850,<p>whole life insurance</p><br>,18
219,self-rating,generalKnowledge,6,9165,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
219,self-rating,compareAmerican,4,31915,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
219,FLquiz,stocks,False,100733,NA,19
219,FLquiz,interest,Don't know,100733,NA,19
219,FLquiz,mortgage,True,100733,NA,19
219,FLquiz,inflation,Less,100733,NA,19
219,FLquiz,savingsAccount,More than $102,100733,NA,19
221,finance term,pre-rated stocks,3,7751,<p>pre-rated stocks</p><br>,2
221,finance term,fixed-rate deduction,3,4706,<p>fixed-rate deduction</p><br>,3
221,finance term,annualized credit,3,2627,<p>annualized credit</p><br>,4
221,finance term,tax bracket,4,3456,<p>tax bracket</p><br>,5
221,finance term,fixed-rate mortgage,5,2147,<p>fixed-rate mortgage</p><br>,6
221,finance term,home equity,5,2131,<p>home equity</p><br>,7
221,finance term,revolving credit,5,2485,<p>revolving credit</p><br>,8
221,finance term,vesting,6,2773,<p>vesting</p><br>,9
221,finance term,retirement,6,2234,<p>retirement</p><br>,10
221,finance term,stock options,4,2772,<p>stock options</p><br>,11
221,finance term,inflation,5,2420,<p>inflation</p><br>,12
221,finance term,private equity fund,5,2175,<p>private equity fund</p><br>,13
221,finance term,interest rate,6,2213,<p>interest rate</p><br>,14
221,finance term,Roth IRA,3,4807,<p>Roth IRA</p><br>,15
221,finance term,whole life insurance,7,3694,<p>whole life insurance</p><br>,16
221,self-rating,generalKnowledge,3,6825,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
221,self-rating,compareAmerican,4,4862,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
221,FLquiz,stocks,Don't know,92886,NA,19
221,FLquiz,interest,Don't know,92886,NA,19
221,FLquiz,mortgage,Don't know,92886,NA,19
221,FLquiz,inflation,Less,92886,NA,19
221,FLquiz,savingsAccount,More than $102,92886,NA,19
222,finance term,pre-rated stocks,5,2479,<p>pre-rated stocks</p><br>,2
222,finance term,fixed-rate deduction,5,2037,<p>fixed-rate deduction</p><br>,3
222,finance term,annualized credit,6,6601,<p>annualized credit</p><br>,4
222,finance term,tax bracket,5,1819,<p>tax bracket</p><br>,5
222,finance term,fixed-rate mortgage,3,1738,<p>fixed-rate mortgage</p><br>,6
222,finance term,home equity,6,2480,<p>home equity</p><br>,7
222,finance term,revolving credit,3,1971,<p>revolving credit</p><br>,8
222,finance term,vesting,4,3701,<p>vesting</p><br>,9
222,finance term,retirement,7,3844,<p>retirement</p><br>,10
222,finance term,stock options,6,6737,<p>stock options</p><br>,11
222,finance term,inflation,7,2137,<p>inflation</p><br>,12
222,finance term,private equity fund,7,1927,<p>private equity fund</p><br>,13
222,finance term,interest rate,6,2513,<p>interest rate</p><br>,14
222,finance term,Roth IRA,5,2284,<p>Roth IRA</p><br>,15
222,finance term,whole life insurance,7,2486,<p>whole life insurance</p><br>,16
222,self-rating,generalKnowledge,6,6472,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
222,self-rating,compareAmerican,5,2527,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
222,FLquiz,stocks,Don't know,100987,NA,19
222,FLquiz,interest,Stay the same,100987,NA,19
222,FLquiz,mortgage,False,100987,NA,19
222,FLquiz,inflation,Don't know,100987,NA,19
222,FLquiz,savingsAccount,More than $102,100987,NA,19
223,finance term,pre-rated stocks,1,6784,<p>pre-rated stocks</p><br>,2
223,finance term,fixed-rate deduction,3,5583,<p>fixed-rate deduction</p><br>,3
223,finance term,annualized credit,4,4522,<p>annualized credit</p><br>,4
223,finance term,tax bracket,5,2627,<p>tax bracket</p><br>,5
223,finance term,fixed-rate mortgage,7,2999,<p>fixed-rate mortgage</p><br>,6
223,finance term,home equity,6,2791,<p>home equity</p><br>,7
223,finance term,revolving credit,2,5716,<p>revolving credit</p><br>,8
223,finance term,vesting,2,7104,<p>vesting</p><br>,9
223,finance term,retirement,7,2499,<p>retirement</p><br>,10
223,finance term,stock options,7,2071,<p>stock options</p><br>,11
223,finance term,inflation,7,1818,<p>inflation</p><br>,12
223,finance term,private equity fund,5,3158,<p>private equity fund</p><br>,13
223,finance term,interest rate,7,2059,<p>interest rate</p><br>,14
223,finance term,Roth IRA,1,2350,<p>Roth IRA</p><br>,15
223,finance term,whole life insurance,3,3141,<p>whole life insurance</p><br>,16
223,self-rating,generalKnowledge,3,8261,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
223,self-rating,compareAmerican,3,6261,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
223,FLquiz,stocks,Don't know,54548,NA,19
223,FLquiz,interest,Don't know,54548,NA,19
223,FLquiz,mortgage,True,54548,NA,19
223,FLquiz,inflation,More,54548,NA,19
223,FLquiz,savingsAccount,More than $102,54548,NA,19
224,finance term,pre-rated stocks,6,2615,<p>pre-rated stocks</p><br>,4
224,finance term,fixed-rate deduction,5,2047,<p>fixed-rate deduction</p><br>,5
224,finance term,annualized credit,6,1895,<p>annualized credit</p><br>,6
224,finance term,tax bracket,5,2359,<p>tax bracket</p><br>,7
224,finance term,fixed-rate mortgage,6,2471,<p>fixed-rate mortgage</p><br>,8
224,finance term,home equity,6,1695,<p>home equity</p><br>,9
224,finance term,revolving credit,7,2239,<p>revolving credit</p><br>,10
224,finance term,vesting,6,1799,<p>vesting</p><br>,11
224,finance term,retirement,7,2207,<p>retirement</p><br>,12
224,finance term,stock options,6,2343,<p>stock options</p><br>,13
224,finance term,inflation,7,2303,<p>inflation</p><br>,14
224,finance term,private equity fund,7,2439,<p>private equity fund</p><br>,15
224,finance term,interest rate,6,1967,<p>interest rate</p><br>,16
224,finance term,Roth IRA,7,1471,<p>Roth IRA</p><br>,17
224,finance term,whole life insurance,7,1743,<p>whole life insurance</p><br>,18
224,self-rating,generalKnowledge,5,7102,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
224,self-rating,compareAmerican,5,3327,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
224,FLquiz,stocks,False,81039,NA,19
224,FLquiz,interest,Stay the same,81039,NA,19
224,FLquiz,mortgage,True,81039,NA,19
224,FLquiz,inflation,Less,81039,NA,19
224,FLquiz,savingsAccount,More than $102,81039,NA,19
225,finance term,pre-rated stocks,3,4232,<p>pre-rated stocks</p><br>,4
225,finance term,fixed-rate deduction,5,4614,<p>fixed-rate deduction</p><br>,5
225,finance term,annualized credit,5,3935,<p>annualized credit</p><br>,6
225,finance term,tax bracket,2,18343,<p>tax bracket</p><br>,7
225,finance term,fixed-rate mortgage,7,4551,<p>fixed-rate mortgage</p><br>,8
225,finance term,home equity,2,17040,<p>home equity</p><br>,9
225,finance term,revolving credit,3,21262,<p>revolving credit</p><br>,10
225,finance term,vesting,3,10879,<p>vesting</p><br>,11
225,finance term,retirement,7,3192,<p>retirement</p><br>,12
225,finance term,stock options,7,2639,<p>stock options</p><br>,13
225,finance term,inflation,7,1815,<p>inflation</p><br>,14
225,finance term,private equity fund,6,3176,<p>private equity fund</p><br>,15
225,finance term,interest rate,7,1982,<p>interest rate</p><br>,16
225,finance term,Roth IRA,2,8302,<p>Roth IRA</p><br>,17
225,finance term,whole life insurance,7,2375,<p>whole life insurance</p><br>,18
225,self-rating,generalKnowledge,6,4310,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
225,self-rating,compareAmerican,4,7958,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
225,FLquiz,stocks,False,150248,NA,19
225,FLquiz,interest,Fall,150248,NA,19
225,FLquiz,mortgage,Don't know,150248,NA,19
225,FLquiz,inflation,Less,150248,NA,19
225,FLquiz,savingsAccount,More than $102,150248,NA,19
226,finance term,pre-rated stocks,4,5740,<p>pre-rated stocks</p><br>,2
226,finance term,fixed-rate deduction,6,3618,<p>fixed-rate deduction</p><br>,3
226,finance term,annualized credit,6,2976,<p>annualized credit</p><br>,4
226,finance term,tax bracket,6,2956,<p>tax bracket</p><br>,5
226,finance term,fixed-rate mortgage,6,2701,<p>fixed-rate mortgage</p><br>,6
226,finance term,home equity,6,2712,<p>home equity</p><br>,7
226,finance term,revolving credit,6,4063,<p>revolving credit</p><br>,8
226,finance term,vesting,6,24273,<p>vesting</p><br>,9
226,finance term,retirement,6,3342,<p>retirement</p><br>,10
226,finance term,stock options,6,2619,<p>stock options</p><br>,11
226,finance term,inflation,6,2378,<p>inflation</p><br>,12
226,finance term,private equity fund,6,2616,<p>private equity fund</p><br>,13
226,finance term,interest rate,6,2661,<p>interest rate</p><br>,14
226,finance term,Roth IRA,2,5769,<p>Roth IRA</p><br>,15
226,finance term,whole life insurance,6,4345,<p>whole life insurance</p><br>,16
226,self-rating,generalKnowledge,6,6884,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
226,self-rating,compareAmerican,7,5476,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
226,FLquiz,stocks,False,166853,NA,19
226,FLquiz,interest,Rise,166853,NA,19
226,FLquiz,mortgage,True,166853,NA,19
226,FLquiz,inflation,More,166853,NA,19
226,FLquiz,savingsAccount,More than $102,166853,NA,19
227,finance term,pre-rated stocks,2,4751,<p>pre-rated stocks</p><br>,2
227,finance term,fixed-rate deduction,5,6349,<p>fixed-rate deduction</p><br>,3
227,finance term,annualized credit,4,3865,<p>annualized credit</p><br>,4
227,finance term,tax bracket,3,2300,<p>tax bracket</p><br>,5
227,finance term,fixed-rate mortgage,5,2778,<p>fixed-rate mortgage</p><br>,6
227,finance term,home equity,5,1981,<p>home equity</p><br>,7
227,finance term,revolving credit,3,3251,<p>revolving credit</p><br>,8
227,finance term,vesting,1,2931,<p>vesting</p><br>,9
227,finance term,retirement,7,2770,<p>retirement</p><br>,10
227,finance term,stock options,6,2469,<p>stock options</p><br>,11
227,finance term,inflation,6,2008,<p>inflation</p><br>,12
227,finance term,private equity fund,4,3176,<p>private equity fund</p><br>,13
227,finance term,interest rate,7,2722,<p>interest rate</p><br>,14
227,finance term,Roth IRA,1,1801,<p>Roth IRA</p><br>,15
227,finance term,whole life insurance,5,2912,<p>whole life insurance</p><br>,16
227,self-rating,generalKnowledge,5,7438,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
227,self-rating,compareAmerican,5,12691,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
227,FLquiz,stocks,False,86271,NA,19
227,FLquiz,interest,Fall,86271,NA,19
227,FLquiz,mortgage,True,86271,NA,19
227,FLquiz,inflation,Less,86271,NA,19
227,FLquiz,savingsAccount,More than $102,86271,NA,19
228,finance term,pre-rated stocks,4,5974,<p>pre-rated stocks</p><br>,2
228,finance term,fixed-rate deduction,5,6639,<p>fixed-rate deduction</p><br>,3
228,finance term,annualized credit,4,5416,<p>annualized credit</p><br>,4
228,finance term,tax bracket,4,2495,<p>tax bracket</p><br>,5
228,finance term,fixed-rate mortgage,3,1999,<p>fixed-rate mortgage</p><br>,6
228,finance term,home equity,4,3807,<p>home equity</p><br>,7
228,finance term,revolving credit,3,1967,<p>revolving credit</p><br>,8
228,finance term,vesting,1,2927,<p>vesting</p><br>,9
228,finance term,retirement,6,3032,<p>retirement</p><br>,10
228,finance term,stock options,6,3562,<p>stock options</p><br>,11
228,finance term,inflation,7,2647,<p>inflation</p><br>,12
228,finance term,private equity fund,4,4879,<p>private equity fund</p><br>,13
228,finance term,interest rate,6,2551,<p>interest rate</p><br>,14
228,finance term,Roth IRA,1,2167,<p>Roth IRA</p><br>,15
228,finance term,whole life insurance,5,4055,<p>whole life insurance</p><br>,16
228,self-rating,generalKnowledge,3,8239,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
228,self-rating,compareAmerican,2,4727,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
228,FLquiz,stocks,False,270486,NA,19
228,FLquiz,interest,Don't know,270486,NA,19
228,FLquiz,mortgage,True,270486,NA,19
228,FLquiz,inflation,Less,270486,NA,19
228,FLquiz,savingsAccount,More than $102,270486,NA,19
229,finance term,pre-rated stocks,3,6092,<p>pre-rated stocks</p><br>,4
229,finance term,fixed-rate deduction,5,3838,<p>fixed-rate deduction</p><br>,5
229,finance term,annualized credit,6,4901,<p>annualized credit</p><br>,6
229,finance term,tax bracket,3,3190,<p>tax bracket</p><br>,7
229,finance term,fixed-rate mortgage,5,3377,<p>fixed-rate mortgage</p><br>,8
229,finance term,home equity,6,4260,<p>home equity</p><br>,9
229,finance term,revolving credit,7,3467,<p>revolving credit</p><br>,10
229,finance term,vesting,3,2750,<p>vesting</p><br>,11
229,finance term,retirement,7,5934,<p>retirement</p><br>,12
229,finance term,stock options,5,5454,<p>stock options</p><br>,13
229,finance term,inflation,7,6687,<p>inflation</p><br>,14
229,finance term,private equity fund,6,24103,<p>private equity fund</p><br>,15
229,finance term,interest rate,6,3217,<p>interest rate</p><br>,16
229,finance term,Roth IRA,3,3477,<p>Roth IRA</p><br>,17
229,finance term,whole life insurance,5,3684,<p>whole life insurance</p><br>,18
229,self-rating,generalKnowledge,3,18363,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
229,self-rating,compareAmerican,5,9696,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
229,FLquiz,stocks,Don't know,119878,NA,19
229,FLquiz,interest,Don't know,119878,NA,19
229,FLquiz,mortgage,True,119878,NA,19
229,FLquiz,inflation,Less,119878,NA,19
229,FLquiz,savingsAccount,More than $102,119878,NA,19
230,finance term,pre-rated stocks,5,5382,<p>pre-rated stocks</p><br>,2
230,finance term,fixed-rate deduction,2,3602,<p>fixed-rate deduction</p><br>,3
230,finance term,annualized credit,3,2455,<p>annualized credit</p><br>,4
230,finance term,tax bracket,5,2491,<p>tax bracket</p><br>,5
230,finance term,fixed-rate mortgage,6,3585,<p>fixed-rate mortgage</p><br>,6
230,finance term,home equity,5,1538,<p>home equity</p><br>,7
230,finance term,revolving credit,2,2913,<p>revolving credit</p><br>,8
230,finance term,vesting,2,2059,<p>vesting</p><br>,9
230,finance term,retirement,7,1673,<p>retirement</p><br>,10
230,finance term,stock options,5,1734,<p>stock options</p><br>,11
230,finance term,inflation,7,2563,<p>inflation</p><br>,12
230,finance term,private equity fund,6,2077,<p>private equity fund</p><br>,13
230,finance term,interest rate,6,1488,<p>interest rate</p><br>,14
230,finance term,Roth IRA,1,1973,<p>Roth IRA</p><br>,15
230,finance term,whole life insurance,6,3234,<p>whole life insurance</p><br>,16
230,self-rating,generalKnowledge,5,8136,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",17
230,self-rating,compareAmerican,4,6427,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,18
230,FLquiz,stocks,False,139349,NA,19
230,FLquiz,interest,Don't know,139349,NA,19
230,FLquiz,mortgage,True,139349,NA,19
230,FLquiz,inflation,Less,139349,NA,19
230,FLquiz,savingsAccount,More than $102,139349,NA,19
231,finance term,pre-rated stocks,5,3967,<p>pre-rated stocks</p><br>,4
231,finance term,fixed-rate deduction,6,2099,<p>fixed-rate deduction</p><br>,5
231,finance term,annualized credit,6,2551,<p>annualized credit</p><br>,6
231,finance term,tax bracket,5,1774,<p>tax bracket</p><br>,7
231,finance term,fixed-rate mortgage,5,2320,<p>fixed-rate mortgage</p><br>,8
231,finance term,home equity,7,2415,<p>home equity</p><br>,9
231,finance term,revolving credit,7,2452,<p>revolving credit</p><br>,10
231,finance term,vesting,6,2136,<p>vesting</p><br>,11
231,finance term,retirement,7,2320,<p>retirement</p><br>,12
231,finance term,stock options,7,2261,<p>stock options</p><br>,13
231,finance term,inflation,7,2165,<p>inflation</p><br>,14
231,finance term,private equity fund,6,2092,<p>private equity fund</p><br>,15
231,finance term,interest rate,6,1966,<p>interest rate</p><br>,16
231,finance term,Roth IRA,7,3108,<p>Roth IRA</p><br>,17
231,finance term,whole life insurance,7,2796,<p>whole life insurance</p><br>,18
231,self-rating,generalKnowledge,5,6287,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
231,self-rating,compareAmerican,5,5846,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
231,FLquiz,stocks,False,74538,NA,19
231,FLquiz,interest,Stay the same,74538,NA,19
231,FLquiz,mortgage,False,74538,NA,19
231,FLquiz,inflation,Same,74538,NA,19
231,FLquiz,savingsAccount,More than $102,74538,NA,19
232,finance term,pre-rated stocks,2,5459,<p>pre-rated stocks</p><br>,4
232,finance term,fixed-rate deduction,3,4924,<p>fixed-rate deduction</p><br>,5
232,finance term,annualized credit,5,2577,<p>annualized credit</p><br>,6
232,finance term,tax bracket,6,2540,<p>tax bracket</p><br>,7
232,finance term,fixed-rate mortgage,3,3120,<p>fixed-rate mortgage</p><br>,8
232,finance term,home equity,2,3247,<p>home equity</p><br>,9
232,finance term,revolving credit,1,2385,<p>revolving credit</p><br>,10
232,finance term,vesting,1,2244,<p>vesting</p><br>,11
232,finance term,retirement,5,3023,<p>retirement</p><br>,12
232,finance term,stock options,5,1677,<p>stock options</p><br>,13
232,finance term,inflation,6,1958,<p>inflation</p><br>,14
232,finance term,private equity fund,2,2120,<p>private equity fund</p><br>,15
232,finance term,interest rate,5,1617,<p>interest rate</p><br>,16
232,finance term,Roth IRA,3,2645,<p>Roth IRA</p><br>,17
232,finance term,whole life insurance,3,2503,<p>whole life insurance</p><br>,18
232,self-rating,generalKnowledge,3,4640,"<p>In general, how knowledgable would you say you are about personal finance?</p><br>",1
232,self-rating,compareAmerican,4,8815,<p>How would you rate your general knowledge of personal finance compared to the average American?</p><br>,2
232,FLquiz,stocks,False,54677,NA,19
232,FLquiz,interest,Don't know,54677,NA,19
232,FLquiz,mortgage,True,54677,NA,19
232,FLquiz,inflation,Less,54677,NA,19
232,FLquiz,savingsAccount,More than $102,54677,NA,19
233,finance term,pre-rated stocks,6,5507,<p>pre-rated stocks</p><br>,2
233,finance term,fixed-rate deduction,7,6841,<p>fixed-rate deduction</p><br>,3
233,finance term,annualized credit,6,6840,<p>annualized credit</p><br>,4
233,finance term,tax bracket,7,3735,<p>tax bracket</p><br>,5
233,finance term,fixed-rate mortgage,7,2642,<p>fixed-rate mortgage</p><br>,6
233,finance term,home equity,7,2561,<p>home equity</p><br>,7
233,finance term,revolving credit,7,3569,<p>revolving credit</p><br>,8
233,finance term,vesting,1,4875,<p>vesting</p><br>,9
